11	5	57761
12	5	57765
2	16	57688
13	8	57760
1	17	57324
10	4	57750
10	5	57743
4	5	57854
10	5	57769
3	2	57875
13	5	57886
2	5	58008
13	11	58373
15	0	58367
1	0	58185
1	0	58499
5	5	58522
5	3	58650
0	11	59092
0	11	59149
0	11	59172
13	5	59237
13	5	59238
12	11	59301
13	5	59245
6	5	59331
6	5	59331
13	8	59411
6	6	59326
6	5	59326
4	3	59551
13	5	59376
13	11	59938
10	7	59987
2	5	60194
2	5	60239
10	1	59998
13	5	60353
1	0	60341
12	5	60489
14	7	60618
2	6	60733
5	1	60773
1	0	60920
3	3	60971
4	3	60980
2	4	61125
4	2	61203
0	8	61240
2	4	61351
1	5	61454
2	5	61287
15	5	61508
6	16	61796
13	5	62113
15	16	61575
2	5	62114
6	9	62721
6	1	62667
15	7	62936
2	11	62917
5	4	63211
5	3	63223
5	5	63236
5	5	63236
5	5	63211
3	5	63327
13	5	63290
4	3	63824
3	4	63897
12	11	375
2	0	501
6	15	572
6	15	572
13	5	900
13	5	900
10	12	1143
10	12	1160
15	2	1203
13	11	1255
13	5	1788
13	5	1779
13	5	1847
13	5	1858
13	8	2177
13	8	2177
4	7	2369
4	7	2369
15	5	2638
13	5	2659
5	4	3216
5	3	3202
2	7	3376
6	16	3742
6	16	3749
13	5	3957
15	5	4031
4	15	4151
4	15	4168
13	11	4228
10	11	4685
14	8	4765
12	5	5502
6	15	6093
6	17	6085
2	5	6294
13	5	6377
10	5	6788
10	5	6788
15	4	6894
15	5	6895
13	11	7049
4	4	7194
10	5	7193
12	11	7690
4	11	7754
4	11	7758
2	7	8462
4	15	8706
4	15	8719
4	15	8724
5	5	9070
5	5	9075
13	5	10753
5	8	12185
6	7	13913
6	7	13917
6	4	14208
13	4	15469
13	4	15469
13	11	16981
12	11	17457
12	5	18202
13	5	18607
13	5	18600
13	5	18686
12	11	18819
12	5	18782
12	11	18841
13	5	19980
5	8	20610
6	7	20896
6	7	20899
3	7	21045
6	4	21023
5	12	21848
5	12	21848
5	11	21848
10	13	22245
13	11	23357
6	11	23389
12	11	24050
12	11	24050
13	11	25871
13	11	25893
5	7	26098
5	5	26224
5	5	26230
13	11	26545
4	7	26605
13	11	26748
13	11	26791
5	3	26826
13	17	26850
12	7	27944
12	7	27947
5	11	28240
13	11	28347
13	11	30619
13	11	31027
13	11	31411
13	11	31519
13	11	31702
13	11	32113
13	11	32326
13	16	32392
13	16	32344
13	17	32355
13	16	32344
10	4	32966
10	5	32976
10	11	33194
10	11	33194
3	11	33184
3	11	33173
13	11	34676
13	11	34787
13	11	34771
13	11	34973
13	11	36448
13	11	36474
10	11	36400
13	11	36572
12	11	37157
12	11	37151
12	11	37162
10	15	38274
13	11	39306
13	11	39964
13	11	40426
13	11	40627
13	11	40702
12	11	41297
10	11	41567
10	11	41567
13	11	42232
10	14	43110
13	11	43788
13	11	44414
13	11	44731
13	11	45228
13	11	45242
12	11	45383
13	11	46252
13	11	46463
13	11	46494
13	11	46494
12	11	47562
10	15	48028
10	15	48028
13	11	48178
13	11	48219
13	11	48229
12	11	48985
12	11	48993
14	11	49346
10	11	49373
13	11	49574
13	11	49785
13	11	49785
10	15	50369
13	11	52696
13	11	53130
11	17	54191
10	17	53710
11	15	54337
13	11	55599
13	15	55667
14	15	55739
12	11	57902
12	11	57920
13	11	57991
15	4	60767
3	11	61005
12	11	63761
10	12	61484
14	12	63726
12	11	65364
12	11	66073
10	13	67171
12	11	68244
12	11	71190
13	11	72854
10	11	74815
13	11	77106
10	13	80230
10	13	80230
10	11	80244
13	11	81251
13	11	84794
13	11	90307
13	11	90336
12	11	91489
10	11	91989
8	8	98208
13	11	100438
10	13	100518
10	11	102029
6	15	102230
14	9	105048
13	16	107849
14	11	108540
13	11	111933
13	11	111950
10	13	113782
10	15	114173
13	11	115361
13	11	115361
13	11	115453
14	11	117792
10	15	118913
10	13	122832
13	11	123463
13	11	128434
13	16	131151
13	11	131641
10	15	131931
14	11	131990
14	11	131992
10	15	132709
13	11	134592
10	13	146333
13	11	157674
12	11	157990
10	16	165469
13	12	168528
