FID,New_ID,SUM_area_K,SUM_POP_M_,SUM_POP_F_,SUM_POP_TO,SUM_POP_19,SUM_BRIT_E,SUM_BRIT_I,SUM_BRIT_S,SUM_BRIT_O,SUM_FRENCH,SUM_GERMAN,SUM_AUSTRO,SUM_BELGIA,SUM_BULGAR,SUM_CHINES,SUM_DUTCH_,SUM_GREEK_,SUM_HINDU_,SUM_INDIAN,SUM_ITALIA,SUM_JAPANE,SUM_JEWISH,SUM_NEGRO_,SUM_POLISH,SUM_RUSSIA,SUM_SCANDI,SUM_SWISS_,SUM_UNSPEC,R_CODE
15,MB017000,4442.398544069999800,12304.000000000000000,11197.000000000000000,23501.000000000000000,24736.000000000000000,3719.000000000000000,2761.000000000000000,3018.000000000000000,64.000000000000000,187.000000000000000,11292.000000000000000,154.000000000000000,15.000000000000000,5.000000000000000,11.000000000000000,214.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,177.000000000000000,0.000000000000000,53.000000000000000,1151.000000000000000,338.000000000000000,8.000000000000000,329.000000000000000,16
16,MB018000,10044.970900099999000,90094.000000000000000,73904.000000000000000,163998.000000000000000,66208.000000000000000,49465.000000000000000,20528.000000000000000,31107.000000000000000,1098.000000000000000,9301.000000000000000,9131.000000000000000,6991.000000000000000,976.000000000000000,77.000000000000000,593.000000000000000,587.000000000000000,68.000000000000000,12.000000000000000,814.000000000000000,794.000000000000000,0.000000000000000,8877.000000000000000,167.000000000000000,4704.000000000000000,1638.000000000000000,5469.000000000000000,277.000000000000000,11324.000000000000000,17
17,MB019000,13415.083334900000000,18829.000000000000000,14769.000000000000000,33598.000000000000000,20431.000000000000000,9717.000000000000000,5339.000000000000000,8249.000000000000000,173.000000000000000,894.000000000000000,942.000000000000000,5374.000000000000000,2.000000000000000,6.000000000000000,22.000000000000000,153.000000000000000,0.000000000000000,0.000000000000000,489.000000000000000,5.000000000000000,0.000000000000000,45.000000000000000,4.000000000000000,256.000000000000000,101.000000000000000,1400.000000000000000,6.000000000000000,421.000000000000000,18
18,MB020000,7066.849640940000400,15565.000000000000000,12385.000000000000000,27950.000000000000000,23483.000000000000000,9854.000000000000000,6189.000000000000000,7738.000000000000000,154.000000000000000,398.000000000000000,715.000000000000000,713.000000000000000,35.000000000000000,2.000000000000000,38.000000000000000,95.000000000000000,23.000000000000000,1.000000000000000,228.000000000000000,11.000000000000000,0.000000000000000,31.000000000000000,6.000000000000000,353.000000000000000,366.000000000000000,424.000000000000000,20.000000000000000,556.000000000000000,19
19,MB021000,14662.739207799999000,21732.000000000000000,18961.000000000000000,40693.000000000000000,24434.000000000000000,4349.000000000000000,1755.000000000000000,2460.000000000000000,69.000000000000000,14315.000000000000000,4783.000000000000000,6696.000000000000000,667.000000000000000,0.000000000000000,16.000000000000000,744.000000000000000,2.000000000000000,0.000000000000000,248.000000000000000,24.000000000000000,0.000000000000000,153.000000000000000,4.000000000000000,593.000000000000000,2351.000000000000000,837.000000000000000,52.000000000000000,575.000000000000000,20
20,MB022000,45677.956004500003000,28879.000000000000000,24212.000000000000000,53091.000000000000000,24021.000000000000000,10402.000000000000000,2738.000000000000000,6781.000000000000000,144.000000000000000,1193.000000000000000,3990.000000000000000,9573.000000000000000,75.000000000000000,24.000000000000000,68.000000000000000,557.000000000000000,206.000000000000000,0.000000000000000,3643.000000000000000,107.000000000000000,5.000000000000000,953.000000000000000,13.000000000000000,4383.000000000000000,1666.000000000000000,3443.000000000000000,9.000000000000000,3118.000000000000000,21
21,MB023000,10008.255640400001000,16142.000000000000000,12907.000000000000000,29049.000000000000000,24222.000000000000000,10387.000000000000000,7091.000000000000000,7284.000000000000000,181.000000000000000,685.000000000000000,992.000000000000000,32.000000000000000,450.000000000000000,1.000000000000000,28.000000000000000,250.000000000000000,0.000000000000000,0.000000000000000,13.000000000000000,5.000000000000000,0.000000000000000,4.000000000000000,4.000000000000000,13.000000000000000,20.000000000000000,1124.000000000000000,6.000000000000000,479.000000000000000,22
22,NB025000,3427.847681119999800,11034.000000000000000,10412.000000000000000,21446.000000000000000,21621.000000000000000,10428.000000000000000,6244.000000000000000,3418.000000000000000,99.000000000000000,274.000000000000000,125.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,567.000000000000000,0.000000000000000,0.000000000000000,57.000000000000000,3.000000000000000,0.000000000000000,17.000000000000000,130.000000000000000,1.000000000000000,1.000000000000000,18.000000000000000,1.000000000000000,57.000000000000000,23
23,NB026000,3676.128979520000000,10774.000000000000000,10373.000000000000000,21147.000000000000000,22415.000000000000000,9345.000000000000000,6620.000000000000000,4115.000000000000000,44.000000000000000,244.000000000000000,107.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,5.000000000000000,372.000000000000000,0.000000000000000,0.000000000000000,4.000000000000000,14.000000000000000,0.000000000000000,40.000000000000000,3.000000000000000,0.000000000000000,5.000000000000000,140.000000000000000,26.000000000000000,59.000000000000000,24
24,NB027000,4843.078261439999600,16588.000000000000000,16074.000000000000000,32662.000000000000000,27937.000000000000000,1224.000000000000000,2740.000000000000000,806.000000000000000,5.000000000000000,27732.000000000000000,19.000000000000000,0.000000000000000,1.000000000000000,0.000000000000000,1.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,29.000000000000000,9.000000000000000,0.000000000000000,21.000000000000000,0.000000000000000,1.000000000000000,7.000000000000000,16.000000000000000,1.000000000000000,46.000000000000000,25
