"FID_","FIPSSTCO","TRT2000","STFID","OID_","SCTRACTW","FIPSPLACEW","CENSUSPLW","SCTRACTR","FIPSPLACER","CENSUCPLR","TRACTTOTRA","STFID_1","ID_ID","Distance"
,"11001","008702","11001008702",760,51059460400.0000,79952,1252,11001008702.0000,50000,5,4,"11001008702",7744.000000,0.004298
,"11001","009204","11001009204",762,51059460400.0000,79952,1252,11001009204.0000,50000,5,15,"11001009204",7747.000000,0.002860
,"11001","009301","11001009301",1428,51059460500.0000,79952,1252,11001009301.0000,50000,5,4,"11001009301",7751.000000,0.005930
,"11001","009302","11001009302",2206,51059480200.0000,79952,1252,11001009302.0000,50000,5,15,"11001009302",7760.000000,0.002064
,"11001","009400","11001009400",282,51059471200.0000,79952,1252,11001009400.0000,50000,5,10,"11001009400",7774.000000,0.002190
,"11001","009101","11001009101",2203,51059480200.0000,79952,1252,11001009101.0000,50000,5,4,"11001009101",7815.000000,0.001144
,"11001","008500","11001008500",1426,51059460500.0000,79952,1252,11001008500.0000,50000,5,20,"11001008500",7857.000000,0.003053
,"11001","008301","11001008301",2198,51059480200.0000,79952,1252,11001008301.0000,50000,5,15,"11001008301",7860.000000,0.003151
,"11001","008302","11001008302",9,51059471200.0000,48376,772,11001008302.0000,50000,5,10,"11001008302",7867.000000,0.003942
,"11001","008200","11001008200",758,51059460400.0000,79952,1252,11001008200.0000,50000,5,10,"11001008200",7880.000000,0.000091
,"11001","006600","11001006600",1415,51059460500.0000,79952,1252,11001006600.0000,50000,5,4,"11001006600",7888.000000,0.000241
,"11001","008100","11001008100",757,51059460400.0000,79952,1252,11001008100.0000,50000,5,10,"11001008100",7893.000000,0.001244
,"11001","008402","11001008402",759,51059460400.0000,79952,1252,11001008402.0000,50000,5,4,"11001008402",7901.000000,0.001576
,"11001","008802","11001008802",761,51059460400.0000,79952,1252,11001008802.0000,50000,5,10,"11001008802",7902.000000,0.002521
,"11001","008903","11001008903",1427,51059460500.0000,79952,1252,11001008903.0000,50000,5,10,"11001008903",7917.000000,0.002656
,"11001","007901","11001007901",278,51059471200.0000,79952,1252,11001007901.0000,50000,5,15,"11001007901",7920.000000,0.003010
,"11001","006700","11001006700",754,51059460400.0000,79952,1252,11001006700.0000,50000,5,20,"11001006700",7925.000000,0.000025
,"11001","008002","11001008002",279,51059471200.0000,79952,1252,11001008002.0000,50000,5,10,"11001008002",7935.000000,0.001059
,"11001","006900","11001006900",274,51059471200.0000,79952,1252,11001006900.0000,50000,5,4,"11001006900",7977.000000,0.002386
,"11001","008904","11001008904",281,51059471200.0000,79952,1252,11001008904.0000,50000,5,4,"11001008904",8012.000000,0.002346
,"11001","006804","11001006804",755,51059460400.0000,79952,1252,11001006804.0000,50000,5,70,"11001006804",8024.000000,0.000372
,"11001","007601","11001007601",2188,51059480200.0000,79952,1252,11001007601.0000,50000,5,10,"11001007601",8051.000000,0.001686
,"11001","007605","11001007605",277,51059471200.0000,79952,1252,11001007605.0000,50000,5,4,"11001007605",8051.000000,0.008596
,"11001","007604","11001007604",1421,51059460500.0000,79952,1252,11001007604.0000,50000,5,10,"11001007604",8077.000000,0.004037
,"11001","007304","11001007304",2184,51059480200.0000,79952,1252,11001007304.0000,50000,5,15,"11001007304",8096.000000,0.011870
,"11001","009806","11001009806",1236,51059460500.0000,23984,423,11001009806.0000,50000,5,10,"11001009806",8097.000000,0.004648
,"11001","007404","11001007404",2185,51059480200.0000,79952,1252,11001007404.0000,50000,5,4,"11001007404",8099.000000,0.003134
,"11001","007504","11001007504",2187,51059480200.0000,79952,1252,11001007504.0000,50000,5,15,"11001007504",8099.000000,0.006842
,"11001","007408","11001007408",2186,51059480200.0000,79952,1252,11001007408.0000,50000,5,10,"11001007408",8101.000000,0.002077
,"11001","007409","11001007409",1420,51059460500.0000,79952,1252,11001007409.0000,50000,5,10,"11001007409",8101.000000,0.006102
,"24033","801807","24033801807",386,51059471200.0000,79952,1252,24033801807.0000,38975,495,20,"24033801807",8102.000000,0.012771
,"11001","009603","11001009603",2209,51059480200.0000,79952,1252,11001009603.0000,50000,5,10,"11001009603",8121.000000,0.002050
,"11001","007803","11001007803",1422,51059460500.0000,79952,1252,11001007803.0000,50000,5,4,"11001007803",8126.000000,0.003285
,"11001","007809","11001007809",2192,51059480200.0000,79952,1252,11001007809.0000,50000,5,4,"11001007809",8127.000000,0.008067
,"11001","009906","11001009906",2212,51059480200.0000,79952,1252,11001009906.0000,50000,5,10,"11001009906",8138.000000,0.001769
,"11001","009904","11001009904",2211,51059480200.0000,79952,1252,11001009904.0000,50000,5,10,"11001009904",8143.000000,0.004480
,"11001","009902","11001009902",1431,51059460500.0000,79952,1252,11001009902.0000,50000,5,4,"11001009902",8150.000000,0.008075
,"11001","007808","11001007808",2191,51059480200.0000,79952,1252,11001007808.0000,50000,5,4,"11001007808",8157.000000,0.002954
,"11001","006500","11001006500",2179,51059480200.0000,79952,1252,11001006500.0000,50000,5,30,"11001006500",8180.000000,0.002900
,"11001","007000","11001007000",8,51059471200.0000,48376,772,11001007000.0000,50000,5,4,"11001007000",8199.000000,0.002080
,"11001","005900","11001005900",1234,51059460500.0000,23984,423,11001005900.0000,50000,5,10,"11001005900",8266.000000,0.000129
,"11001","000502","11001000502",1388,51059460500.0000,79952,1252,11001000502.0000,50000,5,15,"11001000502",8297.000000,0.004470
,"11001","007100","11001007100",275,51059471200.0000,79952,1252,11001007100.0000,50000,5,4,"11001007100",8313.000000,0.000093
,"11001","008001","11001008001",1423,51059460500.0000,79952,1252,11001008001.0000,50000,5,4,"11001008001",8343.000000,0.004019
,"11001","000802","11001000802",262,51059471200.0000,79952,1252,11001000802.0000,50000,5,4,"11001000802",8358.000000,0.003653
